timesteps,ep_rew_mean,ep_len_mean
1417792,1595.2835693359375,978.8599853515625
1421888,1584.59619140625,978.8599853515625
1425984,1583.326171875,978.8599853515625
1430080,1575.9630126953125,978.8599853515625
1434176,1591.4573974609375,983.1900024414062
1438272,1590.9410400390625,983.1900024414062
1442368,1597.02001953125,983.1900024414062
1446464,1584.70458984375,975.6599731445312
1450560,1572.339599609375,975.6599731445312
1454656,1571.9932861328125,975.6599731445312
1458752,1584.551513671875,970.3599853515625
1462848,1584.6839599609375,970.3599853515625
1466944,1587.6300048828125,970.3599853515625
1471040,1584.4493408203125,966.3699951171875
1475136,1585.6634521484375,966.3699951171875
1479232,1586.44091796875,966.9000244140625
1483328,1607.62744140625,975.9400024414062
1487424,1608.0859375,975.9400024414062
1491520,1598.4425048828125,975.9400024414062
1495616,1591.9228515625,971.4500122070312
1499712,1562.13232421875,971.4500122070312
1503808,1570.3978271484375,975.4199829101562
1507904,1565.9649658203125,968.6699829101562
1512000,1566.27783203125,968.6699829101562
1516096,1564.72607421875,968.6699829101562
1520192,1560.34033203125,964.25
1524288,1561.2174072265625,964.25
1528384,1559.2281494140625,956.8900146484375
1532480,1545.5540771484375,949.489990234375
1536576,1550.2872314453125,949.489990234375
1540672,1550.0146484375,949.489990234375
1544768,1577.482421875,957.02001953125
1548864,1570.9686279296875,957.02001953125
1552960,1582.388427734375,962.3200073242188
1557056,1583.7430419921875,962.3200073242188
1561152,1586.7796630859375,962.3200073242188
1565248,1588.1817626953125,962.3200073242188
1569344,1599.7841796875,966.3099975585938
1573440,1600.7999267578125,966.3099975585938
1577536,1590.583740234375,966.3099975585938
1581632,1586.6168212890625,963.3499755859375
1585728,1599.2076416015625,963.3499755859375
